releasedate,startdate,enddate,buyer,buyer_matched_name,level1,ocid,contactname,title,description,value,currency
2018-04-25 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-178471-2018,,Office Supplies,"The purpose of this Prior Information Notice (PIN) is: 
(a) To give advance notice that Crown Commercial Service (CCS) (as the Contracting Authority) is working to undertake a tendering exercise to set up a new commercial vehicle to service Public Sector Office Products. 
It is intended that the new commercial vehicle will replace the current CCS Office Supplies Agreements (RM3703 andRM3723). This commercial vehicle will be enabled for use by all UK Public Sector organisations including but not limited to Central Government Departments, NHS Bodies, Local Authorities, Emergency Services, 
Charities and Educational Establishments who have a need for office products. 
Crown Commercial Service invites interested wholesalers, suppliers and retailers of office supplies (including electronic office supplies) to provide information and feedback to support the development of this commercial vehicle, with a particular focus on the areas listed in I1.1.4 above.",,
2018-04-26 00:00:00+00,,,The Minister for the Cabinet Office — Part of the Crown,,,ocds-0c46vo-0133-181870-2018,,National Fraud Initiative Data Matching Services,"The Cabinet Office required a managed service to deliver all aspects of National Fraud Initiative in an environment that meets the Cabinet Office security requirements, accredited against relevant Government Information Assurance Standards. The supplier was to ensure that the system is updated in line with future Government security standards and any future changes to data protection legislation. The NFI is a complex project requiring expertise, flexibility and close collaboration. The supplier was required to work in partnership with Cabinet Office to jointly drive innovation and continual programme development. E.G. developing enhanced data matching/analytics techniques, overcoming specific data related problems, contacting participants needing support and developing enhanced functionality for the NFI web application. The length of the agreement will be 57 months (including 7 month delivery phase) with the option of a two year extension.",,
2017-08-01 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-AUG209252,,Permanent Recruitment.,Provision of services to support the permanent recruitment (including fixed term appointments) of junior grades across multi role professions.,,
2017-08-19 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-AUG212120,,Energy Switching Services.,A summary of the scope of this procurement is summarised within Section II.1.4).,,
2017-12-06 00:00:00+00,2017-12-06 00:00:00+00,,The Cabinet Office,,,ocds-0c46vo-0022-DEC226394,,Postal Goods and Services.,"Postal goods and services. Early thinking is that services will be broken down into framework lots including, (but not limited to), the following draft postal goods and services: — collection and delivery (DSA, end to end, regional /zonal), — secure mail services, — hybrid mail (on-site, off Site, hub solutions), — international mail services, — franking machines, mail-room equipment and office machines, — independent mail consultancy and mail audits, — inbound mail solutions and services.",1500000000.0,GBP
2017-10-11 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-OCT218120,,Modular Buildings Solutions.,"Crown Commercial Service (CCS) as the Contracting Authority intends to put in place a Pan Government Collaborative Agreement for the provision of Modular Building Solutions to be utilised by eligible Central Government Departments and all other UK Public Sector Bodies, including Local Authorities, Health, Police, Fire and Rescue, Education and Devolved Administrations. It is intended that this commercial agreement will be the recommended vehicle for all Modular and Portable Buildings required by UK public sector bodies, which include Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies, Local Authorities, Health, Police, Fire and Rescue, Education, Charities and Devolved Administrations.",,
2019-10-14 13:28:13+00,,2019-09-02 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-367cf5d6-cedd-436d-8753-f2b446da026c,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,GCF Learning Management System,Provision of a Learning Management System and associated integration and setup.,0,GBP
2017-08-29 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-338297-2017,,,,,
2018-11-23 16:31:52+00,,2018-08-21 00:00:00+00,H M GOVERNMENT CABINET OFFICE,,,ocds-0c46vo-0001-bcc988bb-ee91-48a0-9924-5261940e68f9,Emma Lawson,CSHR Recruitment Surge Capacity-  variation to contract form,"This contract is to cover the supply of external recruitment services support in the form of individual campaign assistance, elements of the recruitment process activities and/or the facilitation of a full recruitment campaign in its entirety to support projected volume recruitment exercises.
In addition the following specific requirements were requested under this contract: 
&bull;	Services providing Basic, Standard and Enhanced Security checks.
&bull;	The provision of Assessors for Video Interview for Fast Stream recruitment.",0,GBP
2017-03-30 00:00:00+00,,,The Minister for The Cabinet Office acting though Crown Commercial Service,,,ocds-0c46vo-0133-118186-2017,,Legal services,"This PIN replaces the previous PIN with call for competition, (2016/S 044-072059) published on 3.3.2016. This procurement relates to legal services within the meaning of Schedule 3 of the Public Contracts Regulations 2015 (PCR 2015). Given that this procurement process relates to ‘social and other specific services’ only, it is subject to limited regulation and will be conducted in accordance with regulations 74 to 76 of PCR 2015. Any references to fully regulated processes or procedures are for ease of reference only and should not be taken as recognition nor acceptance that the same apply in this instance. 
The anticipated start date of the Panel is 31.8.2017. 
The anticipated number of providers to be appointed to the Panel is Nine (9).",,
2017-10-13 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-405234-2017,,Apprenticeship Training and Related Services.,"Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in Leadership and Management, Level 3 Team Leader and Level 5 Operations / Departmental Manager. Scope will include any additional Leadership and Management Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in Project Management, Level 4 Associate Project Manager. Scope will include any additional Project Management Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in for Operational Delivery, Level 3 Operational Delivery Officer. Scope will include any additional Operational Delivery Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice Human Resources, Level 5 HR Consultant, Level 3 HR Support, Level 5 Higher Apprenticeship in Human Resources Management. Scope will include any additional Human Resources Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in Finance and Tax, Level 3 Assistant Accountant, Level 4 Professional Accounting / Taxation technician, Level 7 Professional Accountant. Scope will include any additional Finance and Tax Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in for Higher Level Digital Delivery, Level 6 Digital and technology solutions professional degree. Scope will include any additional Higher Level Digital Apprenticeships Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in Digital Delivery, Level 4 Software Developer, Level 4 Network Engineer, Level 4 Data analyst, Level 4 Cyber 
Security technologist, Level 4 Cyber intrusion analyst, Level 4 IS Business Analyst, Level 2 and Level 3 IT application specialist Framework, Level 2, 3 &amp; 4 IT Software, Web, Telecoms Professionals Frameworks. Scope will include any additional Digital Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in Customer Services Resources. Level 2 Customer Service Practitioner, Level 3 Customer Service Specialist, Level 3 Customer Service Framework. Scope will include any additional Customer Service Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in Commercial, Level 4 Public Sector Commercial Professional. Scope will include any additional Commercial Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in for Higher Level Leadership and Management, Level 6 Chartered Manager Degree Apprenticeship. Scope will include any additional Higher Level Leadership and Management Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in Business and Administration, Level 3 Business Administrator, Level 2, 3 and 4 Business Administration Framework. Scope will include any additional Business 
and Administration Apprenticeship Standards that are approved for delivery and subsequently published. 
Provision of expertise in development and delivery of Contracting Authorities Apprentice schemes in Property, Level 3 Surveying Technician, Level 6 Chartered Surveyor, Level 3 Facilities Management Supervisor. Scope will include any additional Property Apprenticeship Standards that are approved for delivery and subsequently published.",,
2017-08-18 00:00:00+00,2017-08-18 00:00:00+00,2017-09-01 00:00:00+00,"Government Digital Service, part of Cabinet Office",,,ocds-0c46vo-0070-5089,,WP1448: Product development team to work on GOV.UK Verify deliverables,"Enabling reuse of EU identities via Verify.  Code is integrated tightly within the main Verify codebase.
Consume EU identities via VerifyMeasure: Verify connected to the eIDAS other countries test instances to consume identities from EU by 02/18Deliverable: go into private betaMeasure: Verify is connected to at least one other country in production for testing with real identities from other countries by 03/18Deliverable: Productionise Verify Service provider to make easier for RP's use VerifyMeasure: Services wishing to onboard use Verify Service Provider Deliverable: Complete discover into improving onboarding process for RP's wishing to integrate with VerifyMeasure: User needs identified for improved onboarding process with technical plan for how to meet them",,
2017-11-11 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-NOV222649,,Payment Solutions.,Cash Back Payment Card.,,
2017-12-23 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-DEC229760,,Office Supplies,Office and Workplace Products.,,
2017-03-09 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-088876-2017,,Energy and related services,"Crown Commercial Service (CCS), as the Contracting Authority, intends to put in place an agreement for the supply of energy via a utilities procurement engine. This will allow public sector customers to compare and switch energy tariffs and suppliers. 
Initially, the service will offer switching of gas and/or electricity products. This could be extended to other utilities in the future. 
The values noted below are estimated and for guidance purposes only and may be subject to change. The exact details of the contractual arrangements are to be determined. 
Crown Commercial Service will be hosting Supplier engagement sessions with dates to be confirmed. 
The team will be organising supplier engagement workshops. If you wish to register your interest please email: 
Gov-Switch@crowncommercial.gov.uk 
Please visit http://ccs-agreements.cabinetoffice.gov.uk/procurement-pipeline/energy-switching-services for further updates.",0.0,GBP
2018-02-22 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-080634-2018,,Workplace Services (FM Marketplace Phase 2),"Security Services. 
Catering services. 
FM Integrator. 
Linen and Laundry services. 
Housing services. 
Defence Facilities Management.",,
2017-08-03 14:32:08+00,,2017-07-21 00:00:00+00,H M GOVERNMENT CABINET OFFICE,,,ocds-0c46vo-0001-ce6642db-236e-4853-9a57-ff688030bb7c,Maxine Ma&#039;atSankofa,NATIONAL INFRASTRUCTURE AND CONSTRUCTION PIPELINE DATA PUBLICATION AND SERVICES,"FULL DETAILS ATTACHED - INVITATION TO TENDER FOR NATIONAL INFRASTRUCTURE AND CONSTRUCTION PIPELINE DATA PUBLICATION AND SERVICES.

TENDER REQUIREMENTS
The Infrastructure and Projects Authority (IPA) are seeking a Service Provider to support the IPA in publishing and disseminating the National Infrastructure and Construction Pipeline (NICP), through providing online publishing services, data visualisation and analytics, and supporting the IPA in engaging with stakeholders.

The Service Provider would work alongside the IPA&#039;s Strategy and Policy team, who are responsible for publishing the NICP. The IPA are the ultimate owners of the NICP data, and are responsible for the data collection, analysis, and publication of the NICP on the government website. 

OBJECTIVE
The Service Provider shall provide online publishing services, data visualisation, and analytical expertise to the IPA to ensure that the NICP data is accessible and used by key stakeholders, including the construction industry and potential investors. The Service Provider shall also host an annual stakeholder engagement event to gather views on the Pipeline from key stakeholders.

The objective of this service is to support the IPA presenting the NICP in an informative, and easy to navigate format, for industry and interested members of the public. IPA is keen for the Service Provide to provide intelligent analysis of the large data set and develop appropriate maps, tools and infographics to achieve this aim. The Service Provider shall also support the IPA in understanding how well the publication meets the needs of its key stakeholders. 

CONTRACT DURATION
The contract will run for three years, with the potential to extend for up to two additional years. 

SPECIFIC SERVICES 
The Service Provider shall provide the following specific services:
Reporting and Defining the Scope of Work
Produce annually a NICP Pipeline Data Publication and Services report detailing the outputs for the previous 12 months, lessons learned, plus options for improvement and development, plus a work plan for the next 12 months. For the first year, the Supplier shall produce a NICP Pipeline Data Publication and Services Plan. 

The approach to managing data security, integrity and quality checks will be in accordance with a Data Security and Quality Plan to be agreed between the parties.

The IPA are also interested to hear further ideas from interested Service Providers regarding how they would further promote and disseminate the NICP.",0,GBP
2017-03-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-MAR192137,,SARS (Spend Analytics and Recovery Service) 2.,"Crown Commercial Service, as the Contracting Authority, intends to put in place an agreement for the provision of Spend Analysis and Recovery services for use by Central Government and UK public sector bodies. This Framework Agreement will replace the previous ‘Spend Analysis and Recovery’ (SARS) Framework Agreement RM 1037 The aim is to appoint multiple suppliers to work in effective partnership with participating Contracting Authorities by providing access to a range of high quality analytical and recovery services and solutions designed to meet the needs of the Civil Service and UK public sector bodies, on a contingent fee basis. The offer will provide a detailed and forensic analysis of a Contracting Authorities supplier charges and payments to identify and recover overpayments or errors resulting in overpayments to suppliers. The solution will take into account the range of requirements, offering 3 structures of service from transaction and supplier balance analysis to a bespoke review of multiple or individual contracts or areas of supply. The proposed structure of the Framework is to have 3 Lots: 1. Transaction Review (Supplier Balances and Payment errors). 2. End-to-end (Full review inc. Supplier Balances, Payment Errors and Contract Compliance). 3. Contract Compliance (Category Specialists ie. Utilities, Logistics, VAT etc.).",,
2019-05-20 00:00:00+00,2019-05-20 00:00:00+00,2019-07-05 15:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0022-MAY295292,,"Postal Goods, Services and Solutions","This will be a single supplier lot. The supplier shall provide low to medium volume capacity franking machines (including weighing scales) capable of processing up to 200 items of mail per day. This lot also includes maintenance services, service wrap provisions and consumables pertaining to the operation of the equipment to ensure it is kept in good working order.",4140000000.0,GBP
2017-10-03 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-OCT217000,,Public Sector Travel and Venue Solutions.,Online Rail Solutions.,,
2018-02-22 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-FEB239435,,Workplace Services (FM Marketplace Phase 2),Security Services.,,
2017-11-21 00:00:00+00,,2017-12-18 00:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-463853-2017,,Utilities Management Software Metering and Ancillary Services.,"The Supplier shall provide a full suite of Meter Operator (MOP), Data Aggregation and Data Collection (DA/DC) Services for Half Hourly Electricity Metering Hardware including: 
i. Provision of fiscal Metering Hardware, 
ii. Installation of new Metering Hardware including, 
iii. Relocation of Metering Hardware, 
iv. Ongoing Maintenance of Metering Hardware including, 
v. Removal, de-energisation and decommissioning of Metering Hardware, 
vi. Data Aggregation and Data Collection (DA/DC) Services in line with the relevant practices of the Balancing Settlement Code (BSC), 
vii. Provide aggregated Half Hourly Electricity data for all relevant Metering Hardware for each initial Settlement Run and Reconciliation Settlement Run before the deadlines established within the Balancing and Settlement Code (BSC), Section N, Clause 3 Payment Calendar, 
viii. Communication of Data to the nominated utilities supplier for billing purposes, 
ix. Provision of a basic Visualisation Portal updated on a day +1. 
The Supplier shall provide Metering Services for electricity Metering Hardware (excluding Half Hourly Electricity Metering Hardware) including Import, Export and Generation. This shall include: 
i. Provision of Fiscal Metering Hardware, 
ii. Provision of Sub-Metering, Automatic Meter Reading (AMR) or Data Logger Hardware (classified as Metering Hardware), 
iii. Ongoing Maintenance of Metering Hardware, 
iv. Relocation of Metering Hardware, 
v. Ongoing Maintenance of Metering Hardware throughout the life of the Call Off Contract with the Contracting Authority, 
vi. Removal, de-energisation and decommissioning of Metering Hardware, 
vii. Data Aggregation of acquired Metering Hardware readings through Automated Meter Reading (AMR), 
viii. Communication of Data to the Contracting Authority and relevant utilities supplier for billing purposes. 
The Supplier shall provider Metering Services for Daily Metered and Non-Daily Metered Gas Metering Hardware including: 
i. Provision of Sub-Metering, Automatic Meter Reading (AMR) or Data Logger Hardware (referred as Metering Hardware), 
ii. Installation of new Metering Hardware acquired through the Call Off Contract, 
iii. Relocation of Metering Hardware, 
iv. Ongoing Maintenance of Metering Hardware, 
v. Removal, de-energisation and decommissioning of Metering Hardware, 
vi. Data aggregation of acquired Metering Hardware readings through Automated Meter Reading (AMR), 
vii. Communication of Data to the Contracting Authority and relevant utilities supplier for billing purposes as requested by the Contracting Authority. 
The Supplier shall provide Metering Services for water Sub-Metering, Flow Meters and Data Logger Hardware including water supply and wastewater sewerage Services. This shall include: 
i. Provision of Sub-Metering, Flow Meters or Data Logger Hardware (referred to as Metering Hardware), 
ii. Installation of new Metering Hardware, 
iii. Ongoing Maintenance of Metering Hardware, 
iv. Relocation of Metering Hardware, 
v. Removal, de-energisation and decommissioning of Metering Hardware as requested by the Contracting Authority, 
vi. Data Aggregation of acquired data readings through Automated Meter Readings (AMR), 
vii. Communication of Data to the Contracting Authority. 
The Supplier shall provide Metering Services for fuel Sub-Metering and Data Logger Hardware 
These Metering Services shall include: 
i. Provision of Sub-Metering or Data Logger Hardware, 
ii. Installation of new Metering Hardware, 
iii. Ongoing Maintenance of Metering Hardware, 
iv. Relocation of Metering Hardware, 
v. Removal, de-energisation and decommissioning of Metering Hardware, 
vi. Data aggregation of acquired Metering Hardware readings either through Automated Meter Reading (AMR), Telemetry or through another organisations AMR or Telemetry platform, 
vii. Communication of Data to the Contracting Authority, 
viii. Communication of the data to the utilities supplier to assist in facilitating Supplier Managed Replenishment. 
The Supplier shall provide Metering Services to cover steam flow Metering Hardware. This shall include: 
i. Provision of Sub-Metering or Data Logger Hardware, 
ii. Installation of new Metering Hardware, 
iii. Ongoing Maintenance of Metering Hardware, 
iv. Relocation of Metering Hardware, 
v. Removal, de-energisation and decommissioning of Metering Hardware, 
vi. Data aggregation of acquired Metering Hardware readings through Automated Meter Reading (AMR), 
vii. Communication of Data to the Contracting Authority. 
The Supplier shall provide Metering Services for Heating and Chilling meters. This shall include: 
i. Provision of Sub-Metering or Data Logger Hardware (referred to as Metering Hardware), 
ii. Installation of new Metering Hardware, 
iii. Ongoing Maintenance of Metering Hardware, 
iv. Relocation of Metering Hardware, 
v. Removal, de-energisation and decommissioning of Metering Hardware, 
vi. Data Aggregation of acquired Metering Hardware readings through Automated Meter Reading (AMR), 
vii. Communication of Data to the Contracting Authority, 
viii. Communication of the data to the utilities supplier to assist in facilitating Supplier Managed Replenishment. 
— The Supplier shall provide Contracting Authorities with access (via user licences) to a Software Product to upload, visualise, manage, report and manipulate utilities data from across their portfolio. 
— A Contracting Authority will be permitted to request the Services set out below in this section 11 as individual requirements or as a Full Service Provision within their Call Off Contract based on their individual requirements. 
— The Supplier shall provide the Contracting Authority with all of the Services the Contracting Authority has specified, either as a Full Service Provision or as individual requirements as set out in the Contracting Authority's Call Off Contract. 
— The Supplier shall provide the Contracting Authority with access to assistance and help to support the use of the Software Product for the duration of the Call Off Contract. 
The Supplier shall provide outsourced Bureau Services to deliver Energy Management Services on behalf of the Contracting Authority. 
The Supplier shall work proactively with the Contracting Authority to assist in the delivery of their Energy Management Strategy. 
The Supplier shall monitor the effectiveness of the Bureau Services provision throughout each Call Off Contract. 
A Contracting Authority will be permitted to request Services as individual requirements or as a Full Service Provision within their Call Off Contract based on their individual requirements. 
The Supplier shall be provide the Contracting Authority with all of the Services the Contracting Authority has specified, either as a Full Service Provision or as individual requirements as set out in the Contracting Authority's Call Off Contract.",,
2019-06-21 14:18:09+00,,2019-01-10 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-69e79ad3-9164-417b-8b91-ab496417b581,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Consultancy for Cabinet Office Programme Delivery,Cabinet Office Programme Delivery (EU Exit),0,GBP
2017-04-12 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-APR194486,,Enterprise Software Solutions — RM3821.,"Crown Commercial Service wishes to establish appropriate contracting routes to meet common hardware, software and services requirements for use by UK public sector bodies which include Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies and Local Authorities. The above Contracting Authority(s) have a need for software services and ancillary hardware to deliver a solution for Enterprise Resource Planning (ERP), Finance / Accounting, Human Resources (HR), Customer Relationship Management (CRM), Electronic Documents and Records Management (EDRM) and Data Management and Reporting, Project Management, Supply Chain Management and sector specific applications. It is anticipated that the Goods and Services to be covered by this Procurement will be divided into lots. Lot structure will be determined through extensive market engagement. Customers and suppliers will be engaged to test assumptions and shape optimal structure in order to achieve the commercial aims of this procurement. Recognising market advancements and the challenges being faced by public sector customers we will be seeking to develop ‘integrated’ commercial solutions for the supply of technology and technology services to assist customers with digital transformation. These solutions will form part of the overall Technology category commercial offerings, which will continue to include Framework Agreements for the other specific category areas: Cloud and Digital, and Network Services. For the avoidance of doubt any competitive activity resulting from this Notice will focus on establishing a procurement route for software based solutions. Working in collaboration with other public buying organisations YPO, ESPO and NEPO, CCS aim to provide customers with a market leading commercial solution for their technology solution requirements, to drive value, benefits and savings for the public sector and to support customers through digital transformation. The purpose of the PIN is to: 1. Give advance notice that Crown Commercial Service (CCS) as the Contracting Authority, is to consider undertaking a tendering exercise to set up a new contracting vehicle to service Central Government and Wider Public Sector Organisations for their software solution requirements. 2. Gauge the market interest in this procurement. 3. Identify suppliers who would like to assist in developing a world class technology supply chain for the public sector. Further details of this procurement and our stakeholder engagement can be found here: http://ccs-agreements.cabinetoffice.gov.uk/procurement-pipeline Once they become available the ITT documentation for this procurement may be freely accessed here: http://ccs-agreements.cabinetoffice.gov.uk/procurement-pipeline Crown Commercial Service use an eTendering System to conduct all of its procurements. You will need to be registered to use the eSourcing portal in order to participate in any CCS procurement opportunities. The eSourcing Portal can be accessed here: https://connect.ccs.gsi.gov.uk/sso/jsp/,DanaInfo=gpsesourcing.cabinetoffice.gov.uk,SSL+login.jsp",,
2017-06-12 16:19:58+00,,2016-10-07 00:00:00+00,H M GOVERNMENT CABINET OFFICE,,,ocds-0c46vo-0001-4d947534-baef-4b82-80c6-5721d7104de6,GDS,Methods Professional Services,Provision of delivery management service for GOV.UK Verify.,0,GBP
2017-04-08 00:00:00+00,,,The Minister for the Cabinet Office,,,ocds-0c46vo-0133-133508-2017,Charles Stevenson,Programming services of application software,UK Government is seeking to accelerate the uptake of Robotic Process Automation (RPA) by central government departments and agencies. It is seeking a partner or partners that will help run a programme of education and demonstration of the potential of RPA and help departments build business cases. Under the terms of the contract the partner will be able to build RPA applications for departments and either be paid for development and deployment or be paid out of benefits. Potential partners should have a substantial track record of successful development and be prepared to invest in this opportunity.,,GBP
2019-03-14 15:09:29+00,,2018-08-21 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-7c8dad4d-5492-427e-b0d6-2fb200e14c1a,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Consultancy for GCS Media Buying Transition Support,Provision of Consultancy for GCS Media Buying Transition Support,0,GBP
2019-03-19 12:07:44+00,,2018-12-19 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-25dd5b33-baf0-41bf-974e-f78833149a2a,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,The Provision of External Legal Advice for the GOV.UK Verify Programme,"Call off Competition for GDS, an agency within Cabinet Office",0,GBP
2017-10-14 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-407252-2017,Kirsty-Louise Brinn,National Fraud Initiative Data Matching and IT Services.,National Fraud Initiative.,,
2018-08-10 12:51:35+00,,2018-07-23 00:00:00+00,H M GOVERNMENT CABINET OFFICE,,,ocds-0c46vo-0001-49fc6eee-ac39-4f42-b571-e7ae4ef4da24,Shipu Miah,Speech to text Reporting (STTR),"Speech to text reporting (STTR) for colleague, as part of Reasonable Workplace adjustment",14400,GBP
2018-04-25 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-APR250813,,Office Supplies,"The purpose of this Prior Information Notice (PIN) is: (a) To give advance notice that Crown Commercial Service (CCS) (as the Contracting Authority) is working to undertake a tendering exercise to set up a new commercial vehicle to service Public Sector Office Products. It is intended that the new commercial vehicle will replace the current CCS Office Supplies Agreements (RM3703 andRM3723). This commercial vehicle will be enabled for use by all UK Public Sector organisations including but not limited to Central Government Departments, NHS Bodies, Local Authorities, Emergency Services, Charities and Educational Establishments who have a need for office products. Crown Commercial Service invites interested wholesalers, suppliers and retailers of office supplies (including electronic office supplies) to provide information and feedback to support the development of this commercial vehicle, with a particular focus on the areas listed in I1.1.4 above.",,
2019-06-21 13:52:11+00,,2019-01-10 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-9ed0bcf7-e4f8-4822-a35c-d9b249829440,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Consultancy for Cabinet Office Programme Delivery,Cabinet Office Programme Delivery (EU Exit),0,GBP
2017-07-18 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-277295-2017,,,,,
2019-10-10 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0353-OCT311933,,,,,
2018-02-12 00:00:00+00,2018-02-12 00:00:00+00,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0022-FEB236620,,Construction Works Contractors,"The Framework is for the provision of Construction Works Solutions readily accessible. By eligible Central Government Departments and all other UK Public Sector Bodies, including Local Authorities, Health, Police, Fire and Rescue, Education and Devolved Administrations. A formal Lot structure will follow the commencement of further market engagement. The anticipated framework duration will be up to 48 months with a possible extension to this period by 3 further years.",30000000000.0,GBP
2017-12-06 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-DEC226394,,Postal Goods and Services.,"Postal goods and services. Early thinking is that services will be broken down into framework lots including, (but not limited to), the following draft postal goods and services: — collection and delivery (DSA, end to end, regional /zonal), — secure mail services, — hybrid mail (on-site, off Site, hub solutions), — international mail services, — franking machines, mail-room equipment and office machines, — independent mail consultancy and mail audits, — inbound mail solutions and services.",,
2018-02-12 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-FEB236620,,Construction Works Contractors,"The Framework is for the provision of Construction Works Solutions readily accessible. By eligible Central Government Departments and all other UK Public Sector Bodies, including Local Authorities, Health, Police, Fire and Rescue, Education and Devolved Administrations. A formal Lot structure will follow the commencement of further market engagement. The anticipated framework duration will be up to 48 months with a possible extension to this period by 3 further years.",,
2017-03-09 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-MAR189906,,Energy Switching Services.,"Crown Commercial Service (CCS), as the Contracting Authority, intends to put in place an agreement for the supply of a utilities procurement engine. This will allow public sector customers to compare and switch energy tariffs and suppliers. Initially, the service will offer switching of gas and/or electricity products. This could be extended to other utilities in the future. The values noted below are estimated and for guidance purposes only and may be subject to change. The exact details of the contractual arrangements are to be determined. Crown Commercial Service will be hosting Supplier engagement sessions with dates to be confirmed. The team will be organising supplier engagement workshops. If you wish to register your interest please email: Gov-Switch@crowncommercial.gov.uk Please visit http://ccs-agreements.cabinetoffice.gov.uk/procurement-pipeline/energy-switching-services for further updates.",,
2017-07-07 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0354-JUL205828,,Fuel Cards and Associated Services.,"Multi source framework agreement for the supply and maintenance of a Fuel Card (or equivalent) solution and any associated services across all public sector organisations. The solution should cover but not be limited to a card based solution for the purchase of fuel and other vehicle associated services such as screen wash, car wash, oil etc. The solution should provide an online management information system to enable public sector organisations to manage their vehicle fleets more effectively.",,
